Model,Stage,Resolution,Channels,Neurons,Parameters
ConvNeXt-Tiny,Stage 1,56x56,96,"301,056","237,888"
ConvNeXt-Tiny,Stage 2,28x28,192,"150,528","992,256"
ConvNeXt-Tiny,Stage 3,14x14,384,"75,264","11,112,960"
ConvNeXt-Tiny,Stage 4,7x7,768,"37,632","15,470,592"
ConvNeXt-Small,Stage 1,56x56,96,"301,056","237,888"
ConvNeXt-Small,Stage 2,28x28,192,"150,528","992,256"
ConvNeXt-Small,Stage 3,14x14,384,"75,264","32,747,520"
ConvNeXt-Small,Stage 4,7x7,768,"37,632","15,470,592"
ConvNeXt-Base,Stage 1,56x56,128,"401,408","415,488"
ConvNeXt-Base,Stage 2,28x28,256,"200,704","1,748,992"
ConvNeXt-Base,Stage 3,14x14,512,"100,352","57,950,208"
ConvNeXt-Base,Stage 4,7x7,"1,024","50,176","27,443,200"
ConvNeXt-Large,Stage 1,56x56,192,"602,112","918,144"
ConvNeXt-Large,Stage 2,28x28,384,"301,056","3,901,440"
ConvNeXt-Large,Stage 3,14x14,768,"150,528","129,785,856"
ConvNeXt-Large,Stage 4,7x7,"1,536","75,264","61,612,032"
ConvNeXt-XLarge,Stage 1,56x56,256,"802,816","1,617,408"
ConvNeXt-XLarge,Stage 2,28x28,512,"401,408","6,905,856"
ConvNeXt-XLarge,Stage 3,14x14,"1,024","200,704","230,195,200"
ConvNeXt-XLarge,Stage 4,7x7,"2,048","100,352","109,412,352"
